Designator,Footprint,Quantity,Value,LCSC Part #
A1,RaspberryPi_Pico_SMD,1,RaspberryPi_Pico,C7203002
"C1, C12, C13, C18, C19, C2, C20, C21, C27, C29, C3, C32, C33, C35, C4, C9",C_0805,16,10uF,C440198
"C10, C11",C_0805,2,47pF,C14857
"C16, C17",C_0805,2,1uF,C28323
"C23, C24, C28, C30, C31",C_0805,5,100nF,C28233
"C25, C34",C_0805,2,2.2nF,C28260
"C5, C6, C7, C8",C_0805,4,10nF,C1710
"D1, D2",D_SOD-123FL,2,1N4004W,C18199087
"FB11, FB12, FB13, FB14, FB15, FB16, FB17, FB18, FB19, FB20",FB_0805,10,~,C1017
J1,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,1,Antenna,
J2,PinSocket_1x04_P2.54mm_Vertical,1,OLED Header,
J3,PinSocket_2x07_P2.54mm_Vertical,1,1x8 LCD Header,
"J4, J5",PinHeader_1x02_P2.54mm_Horizontal,2,BackupVCC (+3.3v),
"R1, R2, R3, R4",R_0805,4,10Ω,C17415
"R10, R11, R12, R13, R14, R16, R24, R9",R_0805,8,33Ω,C17634
"R15, R23",R_0805,2,470Ω,C17710
"R17, R18, R19, R20",R_0805,4,100Ω,C17408
"R21, R22",R_0805,2,4.7kΩ,C17673
"R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48",R_0805,13,10kΩ,C17414
"R5, R6",R_0805,2,47Ω,C17714
"R7, R8",R_0805,2,1.5kΩ,C4310
"SW1, SW2, SW3, SW4",SW-SMD_4P-L3.5-W3.0-P1.50-LS4.7,4,TS-1185-W-4P-H1.8-160,C51927445
SW5,SW-TH_EC11XXXXXXXX,1,EC11E18244AU,C202365
T2,XFMR-SMD_H1102NLT,1,H1102NLT_C20623173,C20623173
TP1,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,I_CLK,
TP10,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,Q_CLK_J,
TP11,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,+3.3V_bus,
TP12,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,+5V_bus,
TP2,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,Q_CLK,
TP3,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,Q_OUT,
TP4,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,I_OUT,
TP5,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,LO_CLK,
TP6,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,+3.3V_Pico,
TP7,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,GND,
TP9,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,I_CLK_J,
U1,MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL,1,SI5351A-B-GT,C529366
U2,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1,SN74AC74DR,C352945
U3,TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL,1,PCM1808PWR,C55513
"U4, U5",VSSOP-8_L3.0-W3.0-P0.65-LS5.0-BL,2,OPA2350EA/250,C115876
U6,SSOP-16_L4.9-W3.9-P0.64-LS6.0-BL,1,SN74CBT3253DBQR,C2674552
Y3,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,1,ASE-xxxMHz,C52204801
