Designator,Mid X,Mid Y,Rotation,Layer
A1,159.79,-102.25,180.0,top
C1,121.5,-66.09,90.0,top
C10,162.6,-62.14,270.0,top
C11,161.1,-66.64,90.0,top
C12,159.6,-63.64,0.0,top
C13,114.65,-90.64,0.0,top
C16,166.1,-61.64,0.0,top
C17,166.1,-64.14,0.0,top
C18,167.78,-68.64,180.0,top
C19,171.6,-68.64,0.0,top
C2,137.1,-75.46,180.0,top
C20,178.1,-66.23,270.0,top
C21,178.1,-69.73,90.0,top
C23,112.6,-129.64,270.0,top
C24,112.6,-133.14,90.0,top
C25,173.6,-80.64,0.0,top
C27,155.1,-80.64,90.0,top
C28,157.6,-80.64,270.0,top
C29,152.6,-80.64,90.0,top
C3,135.6,-65.14,0.0,top
C30,160.1,-80.64,270.0,top
C31,131.94,-135.11,270.0,top
C32,116.6,-96.64,0.0,top
C33,116.6,-99.14,0.0,top
C34,168.6,-78.14,90.0,top
C35,165.6,-115.64,0.0,top
C4,141.6,-73.64,180.0,top
C5,157.5,-75.5,270.0,top
C6,151.1,-75.09,270.0,top
C7,148.6,-75.09,270.0,top
C8,146.1,-75.09,270.0,top
C9,156.6,-70.64,270.0,top
D1,119.1,-66.54,270.0,top
D2,116.1,-66.54,90.0,top
FB11,137.04,-77.46,180.0,top
FB12,140.6,-76.64,90.0,top
FB13,158.6,-70.64,90.0,top
FB14,163.1,-69.2,90.0,top
FB15,165.1,-71.64,90.0,top
FB16,168.54,-71.14,0.0,top
FB17,120.1,-100.7,90.0,top
FB18,124.6,-96.64,0.0,top
FB19,120.6,-96.64,0.0,top
FB20,113.6,-94.14,90.0,top
J1,105.5,-67.385,0.0,top
J2,133.1,-86.64,90.0,top
J3,101.77,-105.42,180.0,top
J4,168.245,-136.955,270.0,top
J5,178.505,-137.115,270.0,top
JP1,101.1,-75.64,0.0,top
JP10,184.0,-127.5,270.0,top
JP2,156.6,-117.14,90.0,top
JP3,161.6,-117.14,90.0,top
JP4,166.6,-118.49,90.0,top
JP5,121.6,-81.14,180.0,top
JP6,130.25,-81.14,0.0,top
JP7,113.6,-81.99,270.0,top
JP8,117.1,-81.79,270.0,top
JP9,173.6,-117.29,90.0,top
R1,149.6,-63.53,0.0,top
R10,168.6,-86.64,0.0,top
R11,124.6,-79.14,90.0,top
R12,127.1,-79.14,90.0,top
R13,127.6,-97.55,90.0,top
R14,168.6,-88.64,0.0,top
R15,173.1,-77.64,270.0,top
R16,117.6,-78.64,180.0,top
R17,146.1,-86.64,270.0,top
R18,144.1,-86.64,270.0,top
R19,142.1,-86.64,270.0,top
R2,149.6,-65.64,0.0,top
R20,148.1,-86.64,270.0,top
R21,143.1,-89.64,0.0,top
R22,146.6,-89.64,180.0,top
R23,171.1,-77.64,270.0,top
R24,121.6,-78.64,0.0,top
R3,149.6,-67.64,0.0,top
R36,167.69,-66.14,0.0,top
R37,136.1,-72.55,90.0,top
R38,138.6,-72.46,90.0,top
R39,171.6,-66.14,0.0,top
R4,149.6,-69.64,0.0,top
R40,175.6,-66.23,270.0,top
R41,175.6,-69.73,270.0,top
R42,140.24,-138.34,270.0,top
R43,142.74,-138.34,270.0,top
R44,147.74,-138.34,270.0,top
R45,145.24,-138.34,270.0,top
R46,124.94,-141.61,270.0,top
R47,122.44,-141.61,270.0,top
R48,119.99,-141.61,270.0,top
R5,152.6,-65.64,90.0,top
R6,155.6,-66.64,0.0,top
R7,159.6,-61.14,0.0,top
R8,158.6,-66.64,90.0,top
R9,163.6,-89.14,180.0,top
SW1,151.24,-125.84,0.0,top
SW2,142.24,-131.84,0.0,top
SW3,160.24,-131.84,0.0,top
SW4,151.17,-131.84,0.0,top
SW5,122.35,-131.5,270.0,top
T2,128.6,-68.64,270.0,top
TP1,125.1,-82.64,0.0,top
TP10,119.1,-87.14,0.0,top
TP11,177.6,-122.14,0.0,top
TP12,183.5,-133.0,0.0,top
TP2,134.1,-80.64,0.0,top
TP3,168.6,-74.64,0.0,top
TP4,175.6,-74.64,0.0,top
TP5,127.6,-115.64,0.0,top
TP6,177.6,-116.64,0.0,top
TP7,177.6,-127.64,0.0,top
TP9,120.6,-73.64,0.0,top
U1,122.0,-93.0,90.0,top
U2,108.1,-90.14,180.0,top
U3,165.6,-83.14,270.0,top
U4,156.0,-62.0,180.0,top
U5,153.67,-71.37,0.0,top
U6,141.5,-65.5,180.0,top
Y3,124.1,-101.14,0.0,top
